[DEBUG] Procedimento 0 carregado: Tempo Médio = 1.100000, Número de Unidades = 20
[DEBUG] Procedimento 1 carregado: Tempo Médio = 12.500000, Número de Unidades = 20
[DEBUG] Procedimento 2 carregado: Tempo Médio = 8.800000, Número de Unidades = 20
[DEBUG] Procedimento 3 carregado: Tempo Médio = 3.400000, Número de Unidades = 20
[DEBUG] Procedimento 4 carregado: Tempo Médio = 1.500000, Número de Unidades = 20
[DEBUG] Procedimento 5 carregado: Tempo Médio = 2.300000, Número de Unidades = 20
[DEBUG] Evento retirado -> ID: 9915911, Tempo: 443128.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915911, Tempo: 443129.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915907, Tempo: 443130.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915908, Tempo: 443130.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915910, Tempo: 443130.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915909, Tempo: 443131.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915912, Tempo: 443131.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915913, Tempo: 443131.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915907, Tempo: 443131.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915908, Tempo: 443131.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915910, Tempo: 443131.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915914, Tempo: 443132.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915915, Tempo: 443132.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915916, Tempo: 443132.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915917, Tempo: 443132.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915919, Tempo: 443132.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915909, Tempo: 443132.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915912, Tempo: 443132.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915913, Tempo: 443132.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915921, Tempo: 443133.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915922, Tempo: 443133.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915914, Tempo: 443133.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915915, Tempo: 443133.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915916, Tempo: 443133.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915917, Tempo: 443133.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915919, Tempo: 443133.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915923, Tempo: 443134.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915924, Tempo: 443134.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915926, Tempo: 443134.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915927, Tempo: 443134.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915928, Tempo: 443134.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915933, Tempo: 443134.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915921, Tempo: 443134.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915922, Tempo: 443134.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915929, Tempo: 443135.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915930, Tempo: 443135.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915932, Tempo: 443135.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915935, Tempo: 443135.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915923, Tempo: 443135.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915924, Tempo: 443135.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915926, Tempo: 443135.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915927, Tempo: 443135.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915928, Tempo: 443135.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915933, Tempo: 443135.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915936, Tempo: 443136.00, Tempo de espera: -0.00, Estado: 1
[DEBUG] Evento retirado -> ID: 9915929, Tempo: 443136.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915930, Tempo: 443136.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915932, Tempo: 443136.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915935, Tempo: 443136.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915936, Tempo: 443137.10, Tempo de espera: -0.00, Estado: 3
[DEBUG] Evento retirado -> ID: 9915911, Tempo: 443141.60, Tempo de espera: -0.00, Estado: 5
[DEBUG] Evento retirado -> ID: 9915907, Tempo: 443143.60, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9915908, Tempo: 443143.60, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9915910, Tempo: 443143.60, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9915909, Tempo: 443144.60, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9915912, Tempo: 443144.60, Tempo de espera: -0.00, Estado: 5
[DEBUG] Evento retirado -> ID: 9915913, Tempo: 443144.60, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9915914, Tempo: 443145.60, Tempo de espera: -0.00, Estado: 13
[DEBUG] Evento retirado -> ID: 9915915, Tempo: 443145.60, Tempo de espera: -0.00, Estado: 5
[DEBUG] Evento retirado -> ID: 9915916, Tempo: 443145.60, Tempo de espera: -0.00, Estado: 5
